"","workerid","story_index","story","language","education","assess","OS","Browser","comments","lab_name","mouse_name","age","gender","enjoyment","screenW","screenH","variable","rating","version"
"118",6,6,"story6","English",3,"Yes","Windows","Chrome","","Frank","Snarp",29,"Male",2,1920,1080,"C",0.245,"counterfactual"
"119",6,3,"story3b","English",3,"Yes","Windows","Chrome","","Albert","Tondam",29,"Male",2,1920,1080,"B",0.24,"counterfactual"
"120",6,3,"story3b","English",3,"Yes","Windows","Chrome","","Albert","Tondam",29,"Male",2,1920,1080,"C",0.755,"counterfactual"
"121",6,3,"story3b","English",3,"Yes","Windows","Chrome","","Albert","Tondam",29,"Male",2,1920,1080,"A",0,"counterfactual"
"122",6,4,"story4","English",3,"Yes","Windows","Chrome","","Ronald","Runcible",29,"Male",2,1920,1080,"A",0.58,"counterfactual"
"123",6,4,"story4","English",3,"Yes","Windows","Chrome","","Ronald","Runcible",29,"Male",2,1920,1080,"B",0.565,"counterfactual"
"124",6,4,"story4","English",3,"Yes","Windows","Chrome","","Ronald","Runcible",29,"Male",2,1920,1080,"C",1,"counterfactual"
"125",6,4,"story4","English",3,"Yes","Windows","Chrome","","Ronald","Runcible",29,"Male",2,1920,1080,"D",1,"counterfactual"
"126",6,5,"story5","English",3,"Yes","Windows","Chrome","","Florence","Weyland",29,"Male",2,1920,1080,"D",0,"counterfactual"
"127",6,5,"story5","English",3,"Yes","Windows","Chrome","","Florence","Weyland",29,"Male",2,1920,1080,"A",0.425,"counterfactual"
"128",6,5,"story5","English",3,"Yes","Windows","Chrome","","Florence","Weyland",29,"Male",2,1920,1080,"B",0.43,"counterfactual"
"129",6,5,"story5","English",3,"Yes","Windows","Chrome","","Florence","Weyland",29,"Male",2,1920,1080,"C",0,"counterfactual"
"130",7,5,"story5","english",1,"Yes","Windows","Chrome","It was tough but I enjoyed it.","Nellie","Tondam",36,"Male",2,1600,900,"B",0.255,"counterfactual"
"131",7,5,"story5","english",1,"Yes","Windows","Chrome","It was tough but I enjoyed it.","Nellie","Tondam",36,"Male",2,1600,900,"C",0,"counterfactual"
"132",7,5,"story5","english",1,"Yes","Windows","Chrome","It was tough but I enjoyed it.","Nellie","Tondam",36,"Male",2,1600,900,"A",0.315,"counterfactual"
"133",7,5,"story5","english",1,"Yes","Windows","Chrome","It was tough but I enjoyed it.","Nellie","Tondam",36,"Male",2,1600,900,"D",0,"counterfactual"
"134",7,4,"story4","english",1,"Yes","Windows","Chrome","It was tough but I enjoyed it.","Ilana","Phroxis",36,"Male",2,1600,900,"B",1,"counterfactual"
"135",7,4,"story4","english",1,"Yes","Windows","Chrome","It was tough but I enjoyed it.","Ilana","Phroxis",36,"Male",2,1600,900,"C",1,"counterfactual"
"136",7,4,"story4","english",1,"Yes","Windows","Chrome","It was tough but I enjoyed it.","Ilana","Phroxis",36,"Male",2,1600,900,"A",1,"counterfactual"
